=========================================
       TSP SIMULATION SUMMARY            
=========================================
Number of Cities:    110
Population Size:     100
Total Generations:   2000
Map Shape:           Italy
Number of Continents:7
Migration Interval:  10
=========================================

Generation | Best Fitness
Generation 321 | Best Fitness: 95.9007
Generation 322 | Best Fitness: 95.8085
Generation 323 | Best Fitness: 95.8085
Generation 324 | Best Fitness: 95.7412
Generation 325 | Best Fitness: 95.1666
Generation 326 | Best Fitness: 95.1666
Generation 327 | Best Fitness: 95.1666
Generation 328 | Best Fitness: 95.1666
Generation 329 | Best Fitness: 95.1666
Generation 330 | Best Fitness: 95.1666
Generation 331 | Best Fitness: 94.0572
Generation 332 | Best Fitness: 93.4569
Generation 333 | Best Fitness: 93.4569
Generation 334 | Best Fitness: 93.4569
Generation 335 | Best Fitness: 93.4569
Generation 336 | Best Fitness: 93.4569
Generation 337 | Best Fitness: 93.4569
Generation 338 | Best Fitness: 93.3861
Generation 339 | Best Fitness: 93.3861
Generation 340 | Best Fitness: 93.3861
Generation 341 | Best Fitness: 93.3861
Generation 342 | Best Fitness: 92.1871
Generation 343 | Best Fitness: 92.1871
Generation 344 | Best Fitness: 92.1871
Generation 345 | Best Fitness: 92.0964
Generation 346 | Best Fitness: 92.0964
Generation 347 | Best Fitness: 92.0964
Generation 348 | Best Fitness: 92.0964
Generation 349 | Best Fitness: 92.0964
Generation 350 | Best Fitness: 92.0964
Generation 351 | Best Fitness: 89.7938
Generation 352 | Best Fitness: 89.7938
Generation 353 | Best Fitness: 89.7938
Generation 354 | Best Fitness: 89.3392
Generation 355 | Best Fitness: 89.3392
Generation 356 | Best Fitness: 89.3392
Generation 357 | Best Fitness: 88.7702
Generation 358 | Best Fitness: 88.7702
Generation 359 | Best Fitness: 88.5732
Generation 360 | Best Fitness: 88.5732
Generation 361 | Best Fitness: 88.5732
Generation 362 | Best Fitness: 88.5732
Generation 363 | Best Fitness: 88.5732
Generation 364 | Best Fitness: 88.5732
Generation 365 | Best Fitness: 88.5732
Generation 366 | Best Fitness: 88.5732
Generation 367 | Best Fitness: 88.5732
Generation 368 | Best Fitness: 88.5732
Generation 369 | Best Fitness: 88.5732
Generation 370 | Best Fitness: 88.5732
Generation 371 | Best Fitness: 88.5732
Generation 372 | Best Fitness: 88.5732
Generation 373 | Best Fitness: 88.536
Generation 374 | Best Fitness: 88.536
Generation 375 | Best Fitness: 88.536
Generation 376 | Best Fitness: 88.536
Generation 377 | Best Fitness: 88.536
Generation 378 | Best Fitness: 88.536
Generation 379 | Best Fitness: 88.536
Generation 380 | Best Fitness: 88.536
Generation 381 | Best Fitness: 88.536
Generation 382 | Best Fitness: 88.536
Generation 383 | Best Fitness: 88.536
Generation 384 | Best Fitness: 88.536
Generation 385 | Best Fitness: 88.536
Generation 386 | Best Fitness: 88.536
Generation 387 | Best Fitness: 88.536
Generation 388 | Best Fitness: 88.536
Generation 389 | Best Fitness: 88.536
Generation 390 | Best Fitness: 88.536
Generation 391 | Best Fitness: 88.536
Generation 392 | Best Fitness: 88.1287
Generation 393 | Best Fitness: 88.1287
Generation 394 | Best Fitness: 88.1287
Generation 395 | Best Fitness: 88.1287
Generation 396 | Best Fitness: 88.1287
Generation 397 | Best Fitness: 88.1287
Generation 398 | Best Fitness: 88.1287
Generation 399 | Best Fitness: 88.1287
Generation 400 | Best Fitness: 87.7397
Generation 401 | Best Fitness: 87.7397
Generation 402 | Best Fitness: 87.3917
Generation 403 | Best Fitness: 87.3917
Generation 404 | Best Fitness: 87.297
Generation 405 | Best Fitness: 87.297
Generation 406 | Best Fitness: 87.297
Generation 407 | Best Fitness: 87.297
Generation 408 | Best Fitness: 87.2915
Generation 409 | Best Fitness: 87.2915
Generation 410 | Best Fitness: 87.2915
Generation 411 | Best Fitness: 87.2915
Generation 412 | Best Fitness: 87.2915
Generation 413 | Best Fitness: 87.2915
Generation 414 | Best Fitness: 87.2915
Generation 415 | Best Fitness: 87.2915
Generation 416 | Best Fitness: 87.2915
Generation 417 | Best Fitness: 87.2915
Generation 418 | Best Fitness: 87.2915
Generation 419 | Best Fitness: 87.2915
Generation 420 | Best Fitness: 87.2915
Generation 421 | Best Fitness: 87.2915
Generation 422 | Best Fitness: 87.2915
Generation 423 | Best Fitness: 87.2915
Generation 424 | Best Fitness: 87.2207
Generation 425 | Best Fitness: 86.8842
Generation 426 | Best Fitness: 86.6961
Generation 427 | Best Fitness: 86.6961
Generation 428 | Best Fitness: 86.6961
Generation 429 | Best Fitness: 86.6961
Generation 430 | Best Fitness: 86.5666
Generation 431 | Best Fitness: 85.6451
Generation 432 | Best Fitness: 85.1091
