#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         379     1.28984     1.35215   0.0047321
         380     1.28863     1.35199   0.0047226
         381     1.29318     1.35183  0.00471273
         382     1.30795     1.35172  0.00470179
         383     1.31745     1.35163  0.00469037
         384     1.35669     1.35164  0.00467817
         385     1.36014     1.35166  0.00466607
         386     1.34111     1.35163  0.00465406
         387     1.32303     1.35156  0.00464262
         388     1.32162     1.35148   0.0046313
         389     1.32998     1.35143  0.00461972
         390      1.3515     1.35143  0.00460788
         391     1.30461     1.35131  0.00459765
         392     1.28613     1.35114  0.00458893
         393     1.28165     1.35097  0.00458065
         394      1.3091     1.35086  0.00457026
         395      1.3141     1.35077  0.00455964
         396     1.30322     1.35065   0.0045497
         397     1.31071     1.35055  0.00453936
         398     1.32538     1.35048  0.00452839
         399     1.33969     1.35046  0.00451712
         400     1.31507     1.35037   0.0045067
         401     1.30675     1.35026  0.00449677
         402     1.30106     1.35014  0.00448725
         403     1.31636     1.35005   0.0044769
         404     1.32762        1.35  0.00446616
         405     1.32813     1.34994  0.00445546
         406     1.31887     1.34987  0.00444514
         407     1.29895     1.34974  0.00443598
         408       1.306     1.34963   0.0044264
         409     1.32596     1.34958  0.00441596
         410     1.34504     1.34956   0.0044052
         411     1.34107     1.34954  0.00439453
         412      1.3476     1.34954  0.00438387
         413     1.35506     1.34955  0.00437327
         414      1.3418     1.34953  0.00436275
         415      1.3413     1.34951  0.00435228
         416     1.33929     1.34949  0.00434189
         417     1.32798     1.34944  0.00433178
         418     1.33458      1.3494  0.00432157
         419     1.33338     1.34936  0.00431142
         420     1.33303     1.34932  0.00430133
         421      1.3316     1.34928  0.00429132
         422     1.31629      1.3492  0.00428186
         423     1.30751     1.34911  0.00427288
         424     1.30055     1.34899  0.00426433
         425     1.32573     1.34894  0.00425465
         426     1.35908     1.34896  0.00424473
         427      1.3686     1.34901  0.00423504
         428     1.36044     1.34903  0.00422523
         429     1.35763     1.34905  0.00421543
         430     1.34442     1.34904  0.00420564
         431      1.3501     1.34905  0.00419588
         432     1.36405     1.34908  0.00418631
         433     1.35017     1.34908  0.00417664
         434     1.34802     1.34908  0.00416702
         435     1.33785     1.34905  0.00415752
         436      1.3252       1.349  0.00414835
         437     1.32564     1.34895   0.0041392
         438     1.31968     1.34888  0.00413029
         439     1.34089     1.34886  0.00412092
         440     1.34729     1.34886  0.00411155
         441     1.35599     1.34887  0.00410226
         442     1.34398     1.34886    0.004093
         443     1.33038     1.34882  0.00408397
         444     1.34229     1.34881   0.0040748
         445     1.35143     1.34881  0.00406564
         446     1.35818     1.34883  0.00405658
         447     1.35806     1.34885  0.00404756
         448     1.35619     1.34887  0.00403856
         449     1.35459     1.34888  0.00402958
         450     1.36421     1.34892  0.00402077
         451     1.34617     1.34891  0.00401186
         452     1.34426      1.3489    0.004003
         453      1.3453     1.34889  0.00399417
         454     1.35979     1.34892  0.00398545
         455     1.37257     1.34897  0.00397703
         456     1.36815     1.34901  0.00396853
         457     1.36715     1.34905  0.00396004
         458     1.36738     1.34909   0.0039516
         459     1.35813     1.34911  0.00394304
         460     1.37967     1.34918  0.00393503
         461     1.37029     1.34922  0.00392676
         462     1.34668     1.34922  0.00391826
         463     1.32872     1.34917  0.00391005
         464      1.3249     1.34912  0.00390197
         465     1.31095     1.34904  0.00389444
         466     1.30907     1.34895  0.00388703
         467     1.34642     1.34895  0.00387871
         468     1.38029     1.34901    0.003871
         469     1.37217     1.34906  0.00386306
         470     1.36534      1.3491    0.003855
         471     1.38338     1.34917   0.0038475
         472      1.3917     1.34926   0.0038404
         473     1.41022     1.34939  0.00383445
         474     1.38207     1.34946  0.00382698
         475     1.36464     1.34949  0.00381905
         476     1.38563     1.34957  0.00381178
         477     1.40552     1.34968   0.0038056
         478     1.38394     1.34976  0.00379831
