#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         481     1.59585     1.59658 1.62624e-05
         482      1.5969     1.59658 1.62426e-05
         483     1.59695     1.59658 1.62274e-05
         484     1.59708     1.59658 1.62272e-05
         485     1.59646     1.59658 1.61956e-05
         486      1.5967     1.59658 1.61642e-05
         487     1.59682     1.59658 1.61386e-05
         488      1.5965     1.59658 1.61064e-05
         489     1.59695     1.59658 1.60913e-05
         490     1.59665     1.59658 1.60592e-05
         491     1.59686     1.59658 1.60369e-05
         492     1.59661     1.59658 1.60044e-05
         493     1.59673     1.59658 1.59748e-05
         494     1.59667     1.59658 1.59435e-05
         495     1.59677     1.59658 1.59157e-05
         496     1.59597     1.59658 1.59319e-05
         497     1.59613     1.59658 1.59257e-05
         498     1.59746     1.59658 1.59916e-05
         499     1.59628     1.59658 1.59709e-05
         500     1.59708     1.59658 1.59703e-05
