#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         423        0.52   0.0817021   0.0115045
         424        0.52   0.0827358   0.0115237
         425         0.4   0.0834824   0.0115208
         426         0.2   0.0837559    0.011497
         427        0.24   0.0841218   0.0114759
         428        0.24    0.084486   0.0114548
         429        0.48   0.0854079   0.0114652
         430        0.24   0.0857674   0.0114442
         431        0.08   0.0857541   0.0114176
         432        0.12   0.0858333   0.0113915
         433        0.08   0.0858199   0.0113652
         434        0.12   0.0858986   0.0113392
         435        0.24   0.0862529   0.0113187
         436        0.48    0.087156   0.0113287
         437        0.36   0.0877803     0.01132
         438        0.16   0.0879452   0.0112953
         439       -0.08   0.0875626   0.0112761
         440       -0.16       0.087   0.0112645
         441       -0.32   0.0860771   0.0112767
         442        -0.4   0.0849774   0.0113047
         443       -0.32   0.0840632   0.0113161
         444       -0.48   0.0827928   0.0113617
         445       -0.12   0.0823371   0.0113453
         446        0.08   0.0823318   0.0113198
         447           0   0.0821477    0.011296
         448        0.28   0.0825893   0.0112794
         449        0.12   0.0826726   0.0112546
         450        0.12   0.0827556   0.0112299
         451       -0.16   0.0822173   0.0112179
         452       -0.48   0.0809735   0.0112618
         453       -0.28   0.0801766   0.0112651
         454       -0.16   0.0796476   0.0112527
         455       -0.32   0.0787692   0.0112622
         456       -0.12   0.0783333   0.0112459
         457        0.28   0.0787746     0.01123
         458        0.28    0.079214   0.0112141
         459        0.36   0.0798257   0.0112063
         460        0.04   0.0797391   0.0111823
         461           0   0.0795662   0.0111594
         462       -0.04   0.0793074   0.0111382
         463       -0.24   0.0786177   0.0111355
         464        -0.2   0.0780172   0.0111277
         465        0.32   0.0785376   0.0111159
         466         0.4   0.0792275   0.0111134
         467         0.6   0.0803426   0.0111454
         468        0.64   0.0815385   0.0111856
         469        0.36   0.0821322   0.0111775
         470        0.16   0.0822979   0.0111549
         471        0.16   0.0824628   0.0111325
         472        0.12   0.0825424   0.0111092
         473       -0.36   0.0816068    0.011125
         474       -0.32   0.0807595   0.0111338
         475        -0.2   0.0801684    0.011126
         476       -0.12   0.0797479   0.0111106
         477       -0.08    0.079413   0.0110923
         478        -0.2   0.0788285   0.0110845
         479       -0.04   0.0785804   0.0110641
         480        0.08   0.0785833   0.0110411
         481        0.12   0.0786694   0.0110185
         482        0.32   0.0791701    0.011007
         483        0.28   0.0795859    0.010992
         484        0.36   0.0801653   0.0109846
         485       -0.08   0.0798351   0.0109669
         486       -0.24    0.079177   0.0109641
         487       -0.08   0.0788501   0.0109464
         488       -0.28   0.0781148   0.0109487
         489       -0.56   0.0768098   0.0110038
         490       -0.44   0.0757551   0.0110317
         491       -0.24    0.075112    0.011028
         492       -0.52   0.0739024   0.0110717
         493       -0.28   0.0731846   0.0110725
         494        -0.2   0.0726316   0.0110639
         495       -0.12   0.0722424   0.0110484
         496        -0.2   0.0716935   0.0110397
         497        0.04   0.0716298   0.0110177
         498        0.12   0.0717269    0.010996
         499       -0.04    0.071503   0.0109763
         500       -0.12     0.07112    0.010961
         501       -0.04   0.0708982   0.0109413
         502        0.16   0.0710757    0.010921
         503         0.2    0.071332   0.0109023
         504         0.2   0.0715873   0.0108836
         505        0.12   0.0716832   0.0108625
         506       -0.08   0.0713834   0.0108452
         507       -0.12   0.0710059   0.0108304
         508        -0.2   0.0704724   0.0108222
         509       -0.08   0.0701768   0.0108049
         510        0.24   0.0705098   0.0107889
         511        0.24   0.0708415   0.0107729
         512        0.28     0.07125   0.0107596
         513        0.56   0.0722027   0.0107807
         514        0.44   0.0729183   0.0107834
         515        0.24   0.0732427   0.0107674
         516        0.04   0.0731783   0.0107467
         517        -0.2   0.0726499   0.0107389
         518       -0.32   0.0718919   0.0107449
         519        0.04   0.0718304   0.0107244
         520       -0.04   0.0716154   0.0107059
         521        0.12   0.0717083   0.0106858
         522           0   0.0715709   0.0106662
         523       -0.12   0.0712046   0.0106521
         524       -0.32    0.070458   0.0106579
         525       -0.12   0.0700952   0.0106437
         526        0.28   0.0704943    0.010631
         527        0.32   0.0709677   0.0106213
         528        0.36   0.0715152   0.0106153
         529        0.28   0.0719093   0.0106026
         530        0.48   0.0726792   0.0106105
         531        0.04   0.0726177   0.0105907
         532        0.04   0.0725564    0.010571
         533        0.08   0.0725704   0.0105511
         534        0.08   0.0725843   0.0105314
         535       -0.08   0.0722991   0.0105156
         536        -0.2    0.071791   0.0105082
         537       -0.44    0.070838   0.0105318
         538       -0.28   0.0701859   0.0105324
         539       -0.16   0.0697588   0.0105215
         540       -0.08   0.0694815   0.0105056
         541           0    0.069353    0.010487
         542        0.08   0.0693727   0.0104677
         543       -0.24   0.0688029   0.0104639
         544       -0.04   0.0686029   0.0104466
         545        0.12   0.0686972   0.0104278
         546       -0.16   0.0682784   0.0104171
         547        0.04   0.0682267   0.0103982
         548           0   0.0681022     0.01038
         549         0.2   0.0683424   0.0103639
         550        0.48   0.0690909    0.010372
         551         0.4   0.0696915   0.0103706
         552        0.44   0.0703623   0.0103734
         553        0.32   0.0708137   0.0103645
         554        0.16   0.0709747   0.0103471
         555        0.12   0.0710631   0.0103288
         556       -0.08   0.0707914   0.0103138
         557       -0.24   0.0702334   0.0103103
         558       -0.12   0.0698925   0.0102975
         559        0.08   0.0699106   0.0102791
         560        0.08   0.0699286   0.0102608
         561        0.12   0.0700178   0.0102429
         562        0.36   0.0705338   0.0102376
         563        0.32   0.0709769    0.010229
         564        0.28   0.0713475   0.0102176
         565        0.16   0.0715044   0.0102007
         566        0.08   0.0715194   0.0101827
         567       -0.04   0.0713228   0.0101666
         568        0.16   0.0714789   0.0101499
         569       -0.08   0.0712127   0.0101356
         570        0.32   0.0716491   0.0101272
         571         0.2   0.0718739    0.010112
         572        0.36   0.0723776   0.0101068
         573        0.36   0.0728796   0.0101016
         574        0.52   0.0736585    0.010114
         575        0.24   0.0739478   0.0101006
         576        0.12   0.0740278   0.0100834
         577        0.08   0.0740381   0.0100659
         578        0.28   0.0743945   0.0100548
         579        0.32   0.0748187   0.0100464
         580        0.16   0.0749655   0.0100301
         581       -0.12   0.0746299   0.0100185
         582       -0.16   0.0742268   0.0100094
         583        0.08   0.0742367  0.00999219
         584        0.24   0.0745205  0.00997911
         585         0.4   0.0750769  0.00997755
         586        0.32   0.0754949  0.00996927
         587        0.44   0.0761158  0.00997161
         588         0.2   0.0763265  0.00995688
         589        0.16   0.0764686  0.00994099
         590        0.28   0.0768136  0.00993012
         591        0.16   0.0769543  0.00991432
         592           0   0.0768243  0.00989842
         593        0.08   0.0768297  0.00988173
         594         0.2    0.077037  0.00986727
         595           0   0.0769076  0.00985154
         596        0.12   0.0769799  0.00983527
         597        0.24   0.0772529  0.00982259
         598        0.12   0.0773244  0.00980642
         599        0.12   0.0773957  0.00979031
         600        0.16   0.0775333  0.00977496
         601        0.12    0.077604  0.00975895
         602       -0.08   0.0773422  0.00974625
         603        0.32   0.0777446  0.00973839
         604        0.08   0.0777483  0.00972227
         605       -0.12   0.0774215  0.00971169
         606       -0.08   0.0771617  0.00969914
         607        0.12   0.0772323  0.00968342
         608       -0.16   0.0768421  0.00967535
         609       -0.08   0.0765846  0.00966289
         610           0    0.076459  0.00964787
         611       -0.04   0.0762684  0.00963396
         612       -0.08   0.0760131   0.0096216
         613        0.04   0.0759543  0.00960608
         614        0.16   0.0760912  0.00959141
         615       -0.08   0.0758374  0.00957917
         616           0   0.0757143  0.00956441
         617        0.04   0.0756564  0.00954909
         618         0.2   0.0758576  0.00953576
         619        0.12   0.0759289  0.00952062
         620         0.2    0.076129  0.00950736
         621         0.2   0.0763285  0.00949415
         622        0.12   0.0763987  0.00947914
         623       -0.08   0.0761477  0.00946725
         624       -0.24    0.075641  0.00946563
         625       -0.24    0.075136  0.00946394
         626        0.16   0.0752716   0.0094498
         627        0.24   0.0755343  0.00943838
         628        0.12   0.0756051  0.00942361
         629       -0.08   0.0753577  0.00941188
         630       -0.08   0.0751111  0.00940017
         631       -0.08   0.0748653  0.00938848
         632       -0.08   0.0746203  0.00937683
         633        0.16   0.0747551  0.00936298
         634        0.24   0.0750158  0.00935184
         635        0.12   0.0750866  0.00933738
         636       -0.16    0.074717  0.00933002
         637           0   0.0745997  0.00931611
         638        0.16   0.0747335  0.00930247
         639       -0.08   0.0744914  0.00929106
         640        0.04   0.0744375   0.0092767
         641        0.12   0.0745086   0.0092625
         642        0.32    0.074891  0.00925596
         643         0.6   0.0757076  0.00927752
         644        0.36   0.0761491  0.00927361
         645        0.16   0.0762791  0.00926015
         646           0    0.076161  0.00924656
         647       -0.36   0.0754869  0.00925681
         648       -0.28   0.0749383  0.00925877
         649        -0.2   0.0745146  0.00925419
         650       -0.12   0.0742154  0.00924479
         651        0.36   0.0746544  0.00924101
         652        0.28   0.0749693   0.0092322
         653        0.12   0.0750383  0.00921832
         654           0   0.0749235  0.00920494
         655       -0.16   0.0745649  0.00919787
         656        0.08   0.0745732  0.00918385
         657       -0.08   0.0743379  0.00917289
         658       -0.04   0.0741641  0.00916059
         659        0.04   0.0741123  0.00914684
         660        0.04   0.0740606  0.00913312
         661        0.12   0.0741301  0.00911957
         662         0.2   0.0743202  0.00910778
         663       -0.28   0.0737858  0.00910971
         664       -0.24   0.0733133  0.00910824
         665       -0.36   0.0726617  0.00911782
         666       -0.28   0.0721321  0.00911949
         667       -0.08    0.071904  0.00910867
         668        -0.4   0.0711976  0.00912239
         669       -0.12   0.0709118  0.00911323
         670        0.16   0.0710448  0.00910059
         671        0.44   0.0715946  0.00910363
         672         0.2   0.0717857  0.00909209
         673        0.16   0.0719168  0.00907952
         674           0   0.0718101  0.00906668
         675           0   0.0717037  0.00905387
         676        0.16   0.0718343  0.00904142
         677        0.44   0.0723781   0.0090444
         678       -0.08   0.0721534  0.00903385
         679       -0.12   0.0718704  0.00902498
         680        -0.2   0.0714706  0.00902056
         681        -0.2    0.071072  0.00901612
         682       -0.16   0.0707331  0.00900926
         683        -0.2   0.0703367  0.00900479
         684       -0.12   0.0700585  0.00899592
         685       -0.16   0.0697226  0.00898906
         686        0.08   0.0697376  0.00897596
         687       -0.08   0.0695197  0.00896555
         688        0.04   0.0694767  0.00895262
         689       -0.04   0.0693179  0.00894103
         690        0.36   0.0697391  0.00893799
         691         0.4   0.0702171  0.00893783
         692        0.16   0.0703468  0.00892585
         693        0.12   0.0704185  0.00891326
         694        0.12   0.0704899  0.00890071
         695           0   0.0703885  0.00888848
         696        0.24   0.0706322  0.00887905
         697        0.08   0.0706456  0.00886632
         698       -0.12   0.0703725  0.00885782
         699           0   0.0702718  0.00884572
         700       -0.12        0.07  0.00883726
         701           0   0.0699001  0.00882522
         702        0.12   0.0699715  0.00881293
         703       -0.28   0.0694737  0.00881445
         704       -0.12   0.0692045  0.00880603
         705       -0.12   0.0689362  0.00879763
         706        0.24   0.0691785  0.00878851
         707         0.2   0.0693635  0.00877802
         708        0.32   0.0697175  0.00877276
         709        0.16   0.0698449  0.00876131
