#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         315       -0.28   -0.449397  0.00683667
         316       -0.44   -0.449367   0.0068151
         317       -0.44   -0.449338  0.00679367
         318       -0.52    -0.44956  0.00677594
         319       -0.68   -0.450282  0.00679309
         320       -0.52     -0.4505  0.00677536
         321       -0.44   -0.450467  0.00675433
         322       -0.52   -0.450683   0.0067368
         323       -0.36   -0.450402  0.00672179
         324        -0.6   -0.450864  0.00671689
         325       -0.68   -0.451569  0.00673312
         326        -0.6   -0.452025  0.00672784
         327        -0.6   -0.452477  0.00672247
         328       -0.52   -0.452683  0.00670513
         329       -0.52   -0.452888  0.00668787
         330       -0.68   -0.453576  0.00670292
         331       -0.68    -0.45426  0.00671748
         332       -0.44   -0.454217  0.00669739
         333       -0.44   -0.454174  0.00667741
         334        -0.2   -0.453413  0.00670064
         335       -0.36   -0.453134  0.00668644
         336       -0.12   -0.452143  0.00673965
         337       -0.36   -0.451869  0.00672519
         338        -0.6   -0.452308  0.00671956
         339       -0.52   -0.452507   0.0067027
         340       -0.52   -0.452706  0.00668593
         341        -0.6   -0.453138  0.00668026
         342       -0.52   -0.453333  0.00666359
         343       -0.52   -0.453528  0.00664699
         344        -0.6   -0.453953   0.0066413
         345       -0.36   -0.453681  0.00662763
         346       -0.44   -0.453642  0.00660859
         347       -0.52   -0.453833  0.00659231
         348       -0.12   -0.452874   0.0066428
         349       -0.52   -0.453066  0.00662655
         350       -0.44   -0.453029  0.00660772
         351       -0.36   -0.452764  0.00659421
         352        -0.6   -0.453182  0.00658873
         353       -0.68   -0.453824  0.00660132
         354       -0.52   -0.454011  0.00658532
         355       -0.52   -0.454197  0.00656939
         356        -0.6   -0.454607  0.00656369
         357       -0.52    -0.45479  0.00654786
         358       -0.44   -0.454749   0.0065297
         359        -0.6   -0.455153  0.00652404
         360        -0.6   -0.455556  0.00651831
         361        -0.6   -0.455956  0.00651252
         362        -0.6   -0.456354  0.00650668
         363       -0.52   -0.456529  0.00649111
         364        -0.6   -0.456923  0.00648524
         365        -0.6   -0.457315   0.0064793
         366       -0.44   -0.457268  0.00646177
         367       -0.36   -0.457003   0.0064496
         368       -0.52   -0.457174  0.00643434
         369       -0.44   -0.457127  0.00641708
         370        -0.6   -0.457514  0.00641134
         371        -0.6   -0.457898  0.00640555
         372       -0.44   -0.457849  0.00638851
         373       -0.44   -0.457802  0.00637156
         374       -0.52   -0.457968   0.0063567
         375       -0.36   -0.457707  0.00634511
         376       -0.36   -0.457447  0.00633356
         377       -0.36   -0.457188  0.00632203
         378       -0.52   -0.457354  0.00630749
         379       -0.68   -0.457942  0.00631814
         380       -0.44   -0.457895  0.00630169
         381        -0.6   -0.458268  0.00629618
         382       -0.36    -0.45801  0.00628495
         383       -0.44   -0.457963  0.00626872
         384        -0.6   -0.458333   0.0062633
         385        -0.6   -0.458701  0.00625783
         386       -0.36   -0.458446  0.00624684
         387       -0.44   -0.458398  0.00623088
         388        -0.6   -0.458763   0.0062255
         389       -0.52    -0.45892  0.00621148
         390       -0.52   -0.459077  0.00619753
         391       -0.52   -0.459233  0.00618364
         392       -0.52   -0.459388  0.00616981
         393       -0.36   -0.459135  0.00615929
         394       -0.52   -0.459289  0.00614559
         395        -0.2   -0.458633  0.00616499
         396       -0.44   -0.458586   0.0061496
         397       -0.36   -0.458338  0.00613912
         398       -0.52   -0.458492  0.00612565
         399        -0.6   -0.458847  0.00612056
         400       -0.44     -0.4588  0.00610544
         401       -0.28   -0.458354  0.00610647
         402       -0.36   -0.458109  0.00609618
         403        -0.6   -0.458462  0.00609122
         404        -0.6   -0.458812  0.00608621
         405       -0.68   -0.459358  0.00609563
         406        -0.6   -0.459704  0.00609045
         407       -0.36   -0.459459  0.00608041
         408        -0.6   -0.459804  0.00607526
         409       -0.52   -0.459951  0.00606219
         410       -0.68   -0.460488  0.00607111
         411       -0.44   -0.460438  0.00605655
         412        -0.2   -0.459806  0.00607475
         413       -0.36   -0.459564  0.00606484
         414       -0.44   -0.459517  0.00605038
         415       -0.28   -0.459084  0.00605124
         416       -0.36   -0.458846  0.00604138
         417        -0.6   -0.459185  0.00603637
         418       -0.44   -0.459139   0.0060221
         419       -0.68   -0.459666  0.00603075
         420       -0.52    -0.45981  0.00601811
         421       -0.44   -0.459762    0.006004
         422       -0.36   -0.459526  0.00599442
         423       -0.44    -0.45948  0.00598043
         424       -0.44   -0.459434   0.0059665
         425        -0.6   -0.459765  0.00596162
         426        -0.6   -0.460094  0.00595671
         427       -0.28   -0.459672  0.00595767
         428       -0.36   -0.459439   0.0059483
         429       -0.36   -0.459207  0.00593895
         430        -0.2   -0.458605  0.00595565
         431        -0.6   -0.458933  0.00595086
         432       -0.68   -0.459444  0.00595905
         433       -0.36   -0.459215  0.00594971
         434       -0.44   -0.459171  0.00593617
         435        -0.6   -0.459494  0.00593134
         436       -0.44    -0.45945  0.00591791
         437       -0.36   -0.459222  0.00590874
