#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         340        0.24 -0.00835294    0.010807
         341        0.08 -0.00809384   0.0107784
         342        0.16 -0.00760234   0.0107581
         343        0.24 -0.00688047   0.0107509
         344        0.12 -0.00651163    0.010726
         345       -0.04  -0.0066087   0.0106954
         346       -0.32 -0.00751445   0.0107027
         347       -0.32 -0.00841499   0.0107097
         348       -0.16 -0.00885057   0.0106878
         349       -0.32 -0.00974212   0.0106943
         350       -0.28  -0.0105143   0.0106916
         351        0.04  -0.0103704   0.0106621
         352        0.08  -0.0101136   0.0106349
         353           0   -0.010085   0.0106048
         354       -0.08  -0.0102825   0.0105767
         355       -0.16  -0.0107042   0.0105553
         356       -0.16  -0.0111236    0.010534
         357       -0.08  -0.0113165   0.0105062
         358       -0.04  -0.0113966   0.0104772
         359       -0.04  -0.0114763   0.0104483
         360           0  -0.0114444   0.0104193
         361       -0.16   -0.011856   0.0103986
         362       -0.36  -0.0128177   0.0104142
         363        -0.6  -0.0144353   0.0105104
         364       -0.44  -0.0156044   0.0105464
         365       -0.44  -0.0167671   0.0105814
         366        -0.2  -0.0172678   0.0105643
         367       -0.24  -0.0178747   0.0105529
         368       -0.24  -0.0184783   0.0105415
         369       -0.44  -0.0196206   0.0105746
         370        -0.6  -0.0211892   0.0106618
         371       -0.64  -0.0228571   0.0107627
         372        -0.4   -0.023871   0.0107814
         373       -0.16  -0.0242359   0.0107587
         374       -0.08   -0.024385    0.010731
         375        0.16  -0.0238933   0.0107136
         376         0.2  -0.0232979   0.0107016
         377        0.12  -0.0229178     0.01068
         378        0.28  -0.0221164   0.0106818
         379        0.24  -0.0214248    0.010676
         380        0.04  -0.0212632   0.0106491
         381        0.04  -0.0211024   0.0106223
         382        0.32  -0.0202094    0.010632
         383        0.36  -0.0192167   0.0106505
         384        0.36  -0.0182292   0.0106684
         385        0.52  -0.0168312   0.0107319
         386        0.04  -0.0166839   0.0107051
         387        0.28  -0.0159173   0.0107049
         388        0.28  -0.0151546   0.0107044
         389        0.32  -0.0142931   0.0107115
         390        0.16  -0.0138462   0.0106934
         391        0.04  -0.0137084   0.0106669
         392       -0.08  -0.0138776   0.0106411
         393        -0.2  -0.0143511   0.0106245
         394       -0.12  -0.0146193   0.0106009
         395       -0.24  -0.0151899   0.0105894
         396       -0.08  -0.0153535    0.010564
         397       -0.04  -0.0154156   0.0105375
         398        -0.2  -0.0158794   0.0105213
         399       -0.24  -0.0164411   0.0105099
         400        0.16      -0.016   0.0104929
         401       -0.04  -0.0160599   0.0104669
         402       -0.24  -0.0166169   0.0104556
         403       -0.28  -0.0172705   0.0104501
         404       -0.24  -0.0178218   0.0104388
         405       -0.16  -0.0181728   0.0104189
         406        -0.2  -0.0186207   0.0104028
         407       -0.08  -0.0187715   0.0103784
         408        -0.2  -0.0192157   0.0103624
         409       -0.32  -0.0199511   0.0103632
         410       -0.12  -0.0201951   0.0103408
         411        0.12   -0.019854   0.0103212
         412        0.04  -0.0197087   0.0102972
         413        -0.4  -0.0206295   0.0103134
         414       -0.56  -0.0219324   0.0103704
         415       -0.52  -0.0231325   0.0104146
         416        -0.4  -0.0240385   0.0104289
         417       -0.32  -0.0247482    0.010428
         418       -0.28  -0.0253589    0.010421
         419       -0.04  -0.0253938   0.0103961
         420        -0.2  -0.0258095   0.0103797
         421       -0.08  -0.0259382   0.0103558
         422        -0.2  -0.0263507   0.0103395
         423       -0.28  -0.0269504   0.0103324
         424       -0.36  -0.0277358   0.0103379
         425        -0.4  -0.0286118   0.0103506
         426       -0.36  -0.0293897   0.0103555
         427       -0.04  -0.0294145   0.0103313
         428           0  -0.0293458   0.0103074
         429       -0.16  -0.0296503   0.0102878
         430       -0.12  -0.0298605   0.0102661
         431       -0.24   -0.030348   0.0102538
         432       -0.28  -0.0309259   0.0102464
         433       -0.08  -0.0310393   0.0102233
         434        0.04  -0.0308756   0.0102011
         435        0.24  -0.0302529   0.0101966
         436        0.24   -0.029633    0.010192
         437        0.08  -0.0293822   0.0101718
         438        0.16  -0.0289498   0.0101578
         439        0.08  -0.0287016   0.0101377
         440        0.16  -0.0282727   0.0101237
         441        0.28  -0.0275737   0.0101248
         442        0.28  -0.0268778   0.0101258
         443        0.24  -0.0262754   0.0101209
         444        0.08   -0.026036   0.0101009
         445           0  -0.0259775   0.0100784
         446        0.04  -0.0258296   0.0100569
         447       -0.08  -0.0259508   0.0100351
         448        0.08  -0.0257143   0.0100155
         449        0.28  -0.0250334   0.0100163
         450        0.16  -0.0246222   0.0100025
         451        0.24  -0.0240355  0.00999748
         452        0.08  -0.0238053  0.00997801
         453        0.08  -0.0235762  0.00995862
         454       -0.04  -0.0236123  0.00993675
         455       -0.16  -0.0239121  0.00991943
         456       -0.08  -0.0240351  0.00989844
         457       -0.04    -0.02407  0.00987684
         458       -0.32  -0.0247162  0.00987639
         459       -0.32  -0.0253595   0.0098758
         460       -0.32      -0.026  0.00987508
         461       -0.24  -0.0264642  0.00986456
         462        -0.2  -0.0268398  0.00985036
         463       -0.12   -0.027041  0.00983114
         464        0.04  -0.0268966  0.00981101
         465        0.04  -0.0267527  0.00979097
         466         0.4  -0.0258369  0.00981269
         467         0.2  -0.0253533  0.00980359
         468        0.12  -0.0250427  0.00978756
         469           0  -0.0249893  0.00976684
         470       -0.24  -0.0254468  0.00975676
         471        -0.6  -0.0266667  0.00981201
         472       -0.36  -0.0273729   0.0098166
         473       -0.56  -0.0284989  0.00986022
         474       -0.24  -0.0289451  0.00984951
         475       -0.08  -0.0290526  0.00982936
         476        0.16  -0.0286555  0.00981673
         477        0.08  -0.0284277   0.0097988
         478        0.04  -0.0282845  0.00977934
         479        0.08  -0.0280585  0.00976154
         480           0      -0.028  0.00974138
         481       -0.24  -0.0284407  0.00973109
         482        0.04  -0.0282988  0.00971194
         483       -0.16  -0.0285714  0.00969566
         484        0.04  -0.0284298  0.00967666
         485        0.28  -0.0277938  0.00967758
         486        0.32  -0.0270782  0.00968409
         487        0.12  -0.0267762  0.00966892
         488        0.04  -0.0266393  0.00965007
         489        0.04  -0.0265031   0.0096313
         490        0.08  -0.0262857  0.00961409
         491       -0.12  -0.0264766  0.00959641
         492       -0.16   -0.026748  0.00958074
         493           0  -0.0266937  0.00956146
         494        0.08  -0.0264777  0.00954454
         495        0.36   -0.025697  0.00955714
         496        0.28  -0.0250806  0.00955773
         497       -0.04  -0.0251107  0.00953854
         498       -0.04  -0.0251406  0.00951944
         499       -0.04  -0.0251703  0.00950041
         500        -0.2    -0.02552  0.00948784
