#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         353     1.67618    0.306906    0.114676
         354     1.67637    0.310775    0.114417
         355     1.67551    0.314619    0.114159
         356      1.6743    0.318438    0.113903
         357     1.67132    0.322228    0.113647
         358      1.6673    0.325985    0.113391
         359     1.66227    0.329707    0.113136
         360     1.65649    0.333393    0.112882
         361     1.64977    0.337039    0.112628
         362     1.64238    0.340645    0.112375
         363     1.63438    0.344209    0.112122
         364     1.62485    0.347727    0.111869
         365     1.61506      0.3512    0.111616
         366     1.60434    0.354623    0.111364
         367     1.59324    0.357998    0.111112
         368     1.58062    0.361321    0.110859
         369     1.56873    0.364593    0.110607
         370     1.55594    0.367813    0.110355
         371     1.54305     0.37098    0.110103
         372     1.52988    0.374096    0.109851
         373     1.51651    0.377159    0.109599
         374     1.50324    0.380169    0.109348
         375     1.48941    0.383127    0.109096
         376     1.47604    0.386034    0.108845
         377     1.46344    0.388892    0.108594
         378     1.44949    0.391698    0.108342
         379     1.43617    0.394454    0.108092
         380     1.42328    0.397161    0.107841
         381     1.41039     0.39982    0.107591
         382     1.39753    0.402432    0.107341
         383      1.3845    0.404996    0.107091
         384     1.37206    0.407515    0.106842
         385     1.35999    0.409989    0.106593
         386     1.34928    0.412422    0.106345
         387     1.33805    0.414814    0.106097
         388     1.32751    0.417166    0.105849
         389     1.31768    0.419481    0.105603
         390     1.30812     0.42176    0.105356
         391     1.29957    0.424005    0.105111
         392     1.29085    0.426216    0.104866
         393     1.28318    0.428397    0.104622
         394     1.27589    0.430548    0.104378
         395     1.26948    0.432672    0.104136
         396     1.26324    0.434769    0.103894
         397     1.25771    0.436842    0.103653
         398     1.25241    0.438891    0.103413
         399     1.24812    0.440919    0.103173
         400     1.24508     0.44293    0.102935
         401     1.24357    0.444926    0.102698
         402     1.24241     0.44691    0.102461
         403     1.24209    0.448883    0.102226
         404     1.24238    0.450847    0.101992
         405     1.24304    0.452803    0.101759
