#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         347     1.59599     1.59627  4.8977e-05
         348     1.59635     1.59627 4.88368e-05
         349     1.59599     1.59627 4.87032e-05
         350     1.59623     1.59627 4.85641e-05
         351     1.59683     1.59627 4.84527e-05
         352     1.59643     1.59627 4.83172e-05
         353     1.59695     1.59627 4.82193e-05
         354     1.59639     1.59627 4.80844e-05
         355      1.5968     1.59627 4.79719e-05
         356     1.59656     1.59627  4.7844e-05
         357     1.59658     1.59627 4.77176e-05
         358     1.59638     1.59627 4.75852e-05
         359     1.59648     1.59627  4.7456e-05
         360     1.59655     1.59628 4.73301e-05
         361      1.5969     1.59628 4.72304e-05
         362     1.59675     1.59628 4.71177e-05
         363      1.5963     1.59628  4.6988e-05
         364      1.5962     1.59628 4.68594e-05
         365     1.59638     1.59628 4.67318e-05
         366     1.59633     1.59628 4.66044e-05
         367     1.59621     1.59628 4.64778e-05
         368     1.59688     1.59628   4.638e-05
         369     1.59637     1.59628  4.6255e-05
         370     1.59636     1.59628 4.61305e-05
         371     1.59681     1.59628 4.60284e-05
         372     1.59583     1.59628 4.59205e-05
         373     1.59648     1.59628 4.58005e-05
         374     1.59667     1.59628 4.56899e-05
         375     1.59622     1.59628 4.55683e-05
         376     1.59603     1.59628 4.54522e-05
         377     1.59647     1.59628 4.53344e-05
         378     1.59678     1.59628 4.52334e-05
         379     1.59635     1.59628 4.51144e-05
         380     1.59671     1.59628 4.50094e-05
         381     1.59656     1.59629  4.4897e-05
         382     1.59638     1.59629 4.47801e-05
         383     1.59704     1.59629 4.47066e-05
         384     1.59646     1.59629 4.45925e-05
         385     1.59665     1.59629 4.44863e-05
         386     1.59646     1.59629 4.43732e-05
         387     1.59669     1.59629 4.42703e-05
         388     1.59603     1.59629 4.41615e-05
         389     1.59616     1.59629 4.40493e-05
         390     1.59656     1.59629 4.39416e-05
         391     1.59704     1.59629 4.38715e-05
         392     1.59735     1.59629 4.38421e-05
         393      1.5962     1.59629 4.37312e-05
         394     1.59637     1.59629 4.36206e-05
         395     1.59642     1.59629 4.35113e-05
         396      1.5966      1.5963  4.3408e-05
         397     1.59672      1.5963 4.33116e-05
         398     1.59668      1.5963 4.32136e-05
         399     1.59703      1.5963 4.31447e-05
         400       1.596      1.5963 4.30435e-05
         401     1.59593      1.5963 4.29458e-05
         402     1.59639      1.5963 4.28396e-05
         403     1.59571      1.5963 4.27585e-05
