# SA_step Temperature Mu Sigma
0 1 2 1.5
485 0.0879416 0.686128 0.619393
486 0.0875019 0.754923 0.697584
487 0.0870643 0.66404 0.654635
488 0.086629 0.73088 0.588187
489 0.0861959 0.808209 0.632496
490 0.0857649 0.808209 0.632496
491 0.0853361 0.82309 0.534827
492 0.0849094 0.879051 0.552685
493 0.0844848 0.879051 0.552685
494 0.0840624 0.865669 0.574978
495 0.0836421 0.837677 0.614788
496 0.0832239 0.750585 0.650061
497 0.0828078 0.697554 0.704117
498 0.0823937 0.747271 0.61034
499 0.0819818 0.751176 0.522916
500 0.0815719 0.763386 0.523924
501 0.081164 0.717271 0.615362
502 0.0807582 0.717271 0.615362
503 0.0803544 0.717271 0.615362
504 0.0799526 0.803488 0.556448
505 0.0795529 0.831914 0.514092
506 0.0791551 0.87536 0.579754
507 0.0787593 0.825761 0.6329
508 0.0783655 0.823329 0.637461
509 0.0779737 0.815696 0.551471
510 0.0775838 0.815696 0.551471
511 0.0771959 0.815696 0.551471
512 0.0768099 0.878922 0.589572
513 0.0764259 0.878922 0.589572
514 0.0760437 0.91615 0.681975
515 0.0756635 0.970921 0.670546
516 0.0752852 1.00925 0.620932
517 0.0749088 0.922827 0.681675
518 0.0745342 0.839691 0.72792
519 0.0741616 0.755638 0.739819
520 0.0737908 0.755638 0.739819
521 0.0734218 0.755638 0.739819
522 0.0730547 0.706073 0.645329
523 0.0726894 0.750542 0.627292
524 0.072326 0.750542 0.627292
525 0.0719643 0.686689 0.714784
526 0.0716045 0.686689 0.714784
527 0.0712465 0.716302 0.68752
528 0.0708903 0.726751 0.651287
529 0.0705358 0.726751 0.651287
530 0.0701831 0.743484 0.57704
531 0.0698322 0.743484 0.57704
532 0.0694831 0.779418 0.648143
533 0.0691356 0.779418 0.648143
534 0.06879 0.779418 0.648143
535 0.068446 0.810684 0.562038
536 0.0681038 0.832349 0.569319
537 0.0677633 0.87403 0.657173
538 0.0674245 0.863538 0.685585
539 0.0670873 0.901469 0.646253
540 0.0667519 0.901469 0.646253
541 0.0664181 0.901469 0.646253
542 0.066086 0.901469 0.646253
543 0.0657556 0.901469 0.646253
544 0.0654268 0.901469 0.646253
545 0.0650997 0.901469 0.646253
546 0.0647742 0.901469 0.646253
547 0.0644503 0.815106 0.60768
548 0.0641281 0.815106 0.60768
549 0.0638074 0.757287 0.688698
550 0.0634884 0.847754 0.769476
551 0.063171 0.77291 0.764312
552 0.0628551 0.700308 0.779578
553 0.0625408 0.700308 0.779578
554 0.0622281 0.719923 0.84266
555 0.061917 0.719923 0.84266
556 0.0616074 0.664362 0.834184
557 0.0612994 0.71282 0.823221
558 0.0609929 0.71282 0.823221
559 0.0606879 0.71282 0.823221
560 0.0603845 0.705478 0.769129
561 0.0600825 0.676202 0.777845
562 0.0597821 0.631591 0.826325
563 0.0594832 0.561675 0.767113
564 0.0591858 0.61687 0.812247
565 0.0588899 0.613065 0.880665
566 0.0585954 0.591399 0.844846
567 0.0583024 0.528027 0.872844
568 0.0580109 0.507914 0.78145
569 0.0577209 0.593016 0.690839
570 0.0574323 0.593016 0.690839
571 0.0571451 0.662827 0.622921
572 0.0568594 0.662827 0.622921
573 0.0565751 0.662827 0.622921
574 0.0562922 0.635639 0.587009
575 0.0560108 0.635639 0.587009
576 0.0557307 0.695393 0.552697
577 0.055452 0.694688 0.589755
578 0.0551748 0.64516 0.571365
579 0.0548989 0.648028 0.608462
580 0.0546244 0.636705 0.559083
581 0.0543513 0.646526 0.580598
582 0.0540795 0.670214 0.670118
583 0.0538091 0.670214 0.670118
584 0.0535401 0.75693 0.684094
585 0.0532724 0.75693 0.684094
586 0.053006 0.726325 0.620446
587 0.052741 0.786414 0.564118
588 0.0524773 0.786414 0.564118
589 0.0522149 0.865216 0.654664
590 0.0519538 0.865216 0.654664
591 0.0516941 0.788617 0.601119
592 0.0514356 0.788617 0.601119
593 0.0511784 0.788617 0.601119
594 0.0509225 0.812917 0.540994
595 0.0506679 0.762129 0.567203
596 0.0504146 0.811078 0.634932
597 0.0501625 0.779685 0.572474
598 0.0499117 0.726844 0.644465
599 0.0496621 0.794559 0.57716
600 0.0494138 0.794272 0.65775
601 0.0491668 0.83467 0.6612
602 0.0489209 0.83467 0.6612
603 0.0486763 0.83467 0.6612
604 0.0484329 0.735072 0.594685
605 0.0481908 0.735072 0.594685
606 0.0479498 0.735072 0.594685
607 0.0477101 0.735072 0.594685
608 0.0474715 0.814797 0.675827
609 0.0472342 0.791674 0.627017
610 0.046998 0.838036 0.60753
611 0.046763 0.838036 0.60753
612 0.0465292 0.825652 0.654371
613 0.0462965 0.866482 0.649295
614 0.0460651 0.866482 0.649295
615 0.0458347 0.866482 0.649295
616 0.0456056 0.866482 0.649295
617 0.0453775 0.866482 0.649295
618 0.0451506 0.889556 0.608361
619 0.0449249 0.889556 0.608361
620 0.0447003 0.832112 0.619652
621 0.0444768 0.832112 0.619652
622 0.0442544 0.909606 0.574162
623 0.0440331 0.86741 0.548907
624 0.0438129 0.86741 0.548907
625 0.0435939 0.932378 0.56302
626 0.0433759 0.932378 0.56302
627 0.043159 0.8569 0.506808
628 0.0429432 0.8033 0.599007
629 0.0427285 0.767854 0.596619
630 0.0425149 0.701363 0.568708
631 0.0423023 0.76982 0.573515
632 0.0420908 0.795397 0.567508
633 0.0418803 0.789369 0.587246
634 0.0416709 0.795363 0.583002
635 0.0414626 0.795363 0.583002
636 0.0412553 0.799243 0.555539
637 0.041049 0.799243 0.555539
638 0.0408437 0.799243 0.555539
639 0.0406395 0.799243 0.555539
640 0.0404363 0.720486 0.583256
