# SA_step Temperature Energy Energy_error
571 0.0571451 -0.380963 0.00120129
572 0.0568594 -0.380963 0.00120129
573 0.0565751 -0.380963 0.00120129
574 0.0562922 -0.344952 0.0011815
575 0.0560108 -0.344952 0.0011815
576 0.0557307 -0.375663 0.00125213
577 0.055452 -0.398892 0.000766839
578 0.0551748 -0.346697 0.00117375
579 0.0548989 -0.366055 0.00107933
580 0.0546244 -0.332418 0.00130297
581 0.0543513 -0.35403 0.00104551
582 0.0540795 -0.384894 0.000985949
583 0.0538091 -0.384894 0.000985949
584 0.0535401 -0.415939 0.00173634
585 0.0532724 -0.415939 0.00173634
586 0.053006 -0.427436 0.000778217
587 0.052741 -0.421346 0.00117909
588 0.0524773 -0.421346 0.00117909
589 0.0522149 -0.414642 0.00162114
590 0.0519538 -0.414642 0.00162114
591 0.0516941 -0.440444 0.00106398
592 0.0514356 -0.440444 0.00106398
593 0.0511784 -0.440444 0.00106398
594 0.0509225 -0.387625 0.00140185
595 0.0506679 -0.417603 0.000962379
596 0.0504146 -0.440939 0.00107102
597 0.0501625 -0.427465 0.00095586
598 0.0499117 -0.421177 0.000794408
599 0.0496621 -0.430776 0.00101994
600 0.0494138 -0.43139 0.00114756
601 0.0491668 -0.424278 0.00182594
602 0.0489209 -0.424278 0.00182594
603 0.0486763 -0.424278 0.00182594
604 0.0484329 -0.425661 0.00104384
605 0.0481908 -0.425661 0.00104384
606 0.0479498 -0.425661 0.00104384
607 0.0477101 -0.425661 0.00104384
608 0.0474715 -0.418834 0.00147724
609 0.0472342 -0.443018 0.000969695
610 0.046998 -0.43833 0.00093445
611 0.046763 -0.43833 0.00093445
612 0.0465292 -0.431013 0.00133187
613 0.0462965 -0.415981 0.00143822
614 0.0460651 -0.415981 0.00143822
615 0.0458347 -0.415981 0.00143822
616 0.0456056 -0.415981 0.00143822
617 0.0453775 -0.415981 0.00143822
618 0.0451506 -0.41119 0.00118339
619 0.0449249 -0.41119 0.00118339
620 0.0447003 -0.441841 0.000990808
621 0.0444768 -0.441841 0.000990808
622 0.0442544 -0.382301 0.00131956
623 0.0440331 -0.379503 0.00165067
624 0.0438129 -0.379503 0.00165067
625 0.0435939 -0.348827 0.00119286
626 0.0433759 -0.348827 0.00119286
627 0.043159 -0.29382 0.00177477
628 0.0429432 -0.442523 0.000944898
629 0.0427285 -0.4389 0.000770276
630 0.0425149 -0.393486 0.00127611
631 0.0423023 -0.426528 0.000843029
632 0.0420908 -0.423434 0.00111579
633 0.0418803 -0.437945 0.000917481
634 0.0416709 -0.436411 0.000972666
635 0.0414626 -0.436411 0.000972666
636 0.0412553 -0.412797 0.00127334
637 0.041049 -0.412797 0.00127334
638 0.0408437 -0.412797 0.00127334
639 0.0406395 -0.412797 0.00127334
640 0.0404363 -0.414015 0.00121035
641 0.0402341 -0.429755 0.00107472
642 0.040033 -0.429755 0.00107472
643 0.0398328 -0.429755 0.00107472
644 0.0396336 -0.433153 0.000862062
645 0.0394355 -0.432714 0.00165158
646 0.0392383 -0.432714 0.00165158
647 0.0390421 -0.440466 0.000834961
648 0.0388469 -0.429979 0.000863227
649 0.0386527 -0.429979 0.000863227
650 0.0384594 -0.429979 0.000863227
651 0.0382671 -0.429979 0.000863227
652 0.0380758 -0.429979 0.000863227
653 0.0378854 -0.429979 0.000863227
654 0.037696 -0.429979 0.000863227
655 0.0375075 -0.429979 0.000863227
656 0.0373199 -0.429979 0.000863227
657 0.0371333 -0.429979 0.000863227
658 0.0369477 -0.43074 0.00105501
659 0.0367629 -0.43074 0.00105501
660 0.0365791 -0.442388 0.000915418
661 0.0363962 -0.442388 0.000915418
662 0.0362142 -0.442388 0.000915418
663 0.0360332 -0.442388 0.000915418
