=========================================
       TSP SIMULATION SUMMARY            
=========================================
Number of Cities:    110
Population Size:     700
Total Generations:   3000
Map Shape:           Italy
Number of Continents:7
Migration Interval:  10
=========================================

Generation | Best Fitness
Generation 539 | Best Fitness: 67.3488
Generation 540 | Best Fitness: 67.3488
Generation 541 | Best Fitness: 67.3488
Generation 542 | Best Fitness: 67.3488
Generation 543 | Best Fitness: 67.3488
Generation 544 | Best Fitness: 67.3488
Generation 545 | Best Fitness: 67.3488
Generation 546 | Best Fitness: 67.3488
Generation 547 | Best Fitness: 67.3488
Generation 548 | Best Fitness: 67.3488
Generation 549 | Best Fitness: 67.3488
Generation 550 | Best Fitness: 67.3488
Generation 551 | Best Fitness: 67.3488
Generation 552 | Best Fitness: 67.3488
Generation 553 | Best Fitness: 67.3488
Generation 554 | Best Fitness: 67.3488
Generation 555 | Best Fitness: 67.3488
Generation 556 | Best Fitness: 67.3488
Generation 557 | Best Fitness: 67.3488
Generation 558 | Best Fitness: 67.3488
Generation 559 | Best Fitness: 67.3488
Generation 560 | Best Fitness: 67.3488
Generation 561 | Best Fitness: 67.3488
Generation 562 | Best Fitness: 67.3488
Generation 563 | Best Fitness: 67.3488
Generation 564 | Best Fitness: 67.3488
Generation 565 | Best Fitness: 67.3488
Generation 566 | Best Fitness: 67.3488
Generation 567 | Best Fitness: 67.3488
Generation 568 | Best Fitness: 67.3488
Generation 569 | Best Fitness: 67.3488
Generation 570 | Best Fitness: 67.3488
Generation 571 | Best Fitness: 67.3488
Generation 572 | Best Fitness: 67.3488
Generation 573 | Best Fitness: 67.3488
Generation 574 | Best Fitness: 67.3488
Generation 575 | Best Fitness: 67.3488
Generation 576 | Best Fitness: 67.3488
Generation 577 | Best Fitness: 67.3488
Generation 578 | Best Fitness: 67.3488
Generation 579 | Best Fitness: 67.3488
Generation 580 | Best Fitness: 67.3488
Generation 581 | Best Fitness: 67.3488
Generation 582 | Best Fitness: 67.3488
Generation 583 | Best Fitness: 67.3488
Generation 584 | Best Fitness: 67.3488
Generation 585 | Best Fitness: 67.3488
Generation 586 | Best Fitness: 67.3488
Generation 587 | Best Fitness: 67.3488
Generation 588 | Best Fitness: 67.3488
Generation 589 | Best Fitness: 67.3488
Generation 590 | Best Fitness: 67.3488
Generation 591 | Best Fitness: 67.3488
Generation 592 | Best Fitness: 67.1252
Generation 593 | Best Fitness: 67.1252
Generation 594 | Best Fitness: 67.1252
Generation 595 | Best Fitness: 67.1252
Generation 596 | Best Fitness: 67.1252
Generation 597 | Best Fitness: 67.1252
Generation 598 | Best Fitness: 67.1252
Generation 599 | Best Fitness: 67.1252
Generation 600 | Best Fitness: 67.1252
Generation 601 | Best Fitness: 67.1252
Generation 602 | Best Fitness: 67.1252
Generation 603 | Best Fitness: 67.1252
Generation 604 | Best Fitness: 67.1252
Generation 605 | Best Fitness: 67.1252
Generation 606 | Best Fitness: 67.1252
Generation 607 | Best Fitness: 67.1252
Generation 608 | Best Fitness: 67.1252
Generation 609 | Best Fitness: 67.1252
Generation 610 | Best Fitness: 67.1252
Generation 611 | Best Fitness: 67.1252
Generation 612 | Best Fitness: 67.1252
Generation 613 | Best Fitness: 67.1252
Generation 614 | Best Fitness: 67.1252
Generation 615 | Best Fitness: 67.1252
Generation 616 | Best Fitness: 67.1252
Generation 617 | Best Fitness: 67.1252
Generation 618 | Best Fitness: 67.1252
Generation 619 | Best Fitness: 67.1252
Generation 620 | Best Fitness: 67.1252
Generation 621 | Best Fitness: 67.1252
Generation 622 | Best Fitness: 67.1252
Generation 623 | Best Fitness: 67.1252
Generation 624 | Best Fitness: 67.1252
Generation 625 | Best Fitness: 67.1252
Generation 626 | Best Fitness: 67.1252
Generation 627 | Best Fitness: 67.1252
Generation 628 | Best Fitness: 67.1252
Generation 629 | Best Fitness: 67.1252
Generation 630 | Best Fitness: 67.1252
Generation 631 | Best Fitness: 67.1252
Generation 632 | Best Fitness: 67.1252
Generation 633 | Best Fitness: 67.1252
Generation 634 | Best Fitness: 67.1252
Generation 635 | Best Fitness: 67.1252
Generation 636 | Best Fitness: 67.1252
Generation 637 | Best Fitness: 67.1252
Generation 638 | Best Fitness: 67.1252
Generation 639 | Best Fitness: 67.1252
Generation 640 | Best Fitness: 67.1252
Generation 641 | Best Fitness: 67.1252
Generation 642 | Best Fitness: 67.1252
Generation 643 | Best Fitness: 67.1252
Generation 644 | Best Fitness: 67.1252
Generation 645 | Best Fitness: 67.1252
Generation 646 | Best Fitness: 67.1252
Generation 647 | Best Fitness: 67.1252
Generation 648 | Best Fitness: 67.1252
Generation 649 | Best Fitness: 67.1252
Generation 650 | Best Fitness: 67.1252
Generation 651 | Best Fitness: 67.1252
Generation 652 | Best Fitness: 67.1252
Generation 653 | Best Fitness: 67.1252
Generation 654 | Best Fitness: 67.1252
Generation 655 | Best Fitness: 67.1252
Generation 656 | Best Fitness: 67.1252
Generation 657 | Best Fitness: 67.1252
Generation 658 | Best Fitness: 67.1252
Generation 659 | Best Fitness: 67.1252
Generation 660 | Best Fitness: 67.1252
Generation 661 | Best Fitness: 67.1252
Generation 662 | Best Fitness: 67.1252
Generation 663 | Best Fitness: 67.1252
Generation 664 | Best Fitness: 67.1252
Generation 665 | Best Fitness: 67.1252
Generation 666 | Best Fitness: 67.1252
Generation 667 | Best Fitness: 67.1252
Generation 668 | Best Fitness: 67.1252
Generation 669 | Best Fitness: 67.1252
Generation 670 | Best Fitness: 67.1252
Generation 671 | Best Fitness: 67.1252
Generation 672 | Best Fitness: 67.1252
Generation 673 | Best Fitness: 67.1252
Generation 674 | Best Fitness: 67.1252
Generation 675 | Best Fitness: 67.1252
Generation 676 | Best Fitness: 67.1252
Generation 677 | Best Fitness: 67.1252
Generation 678 | Best Fitness: 67.1252
Generation 679 | Best Fitness: 67.1252
Generation 680 | Best Fitness: 67.1252
Generation 681 | Best Fitness: 67.1252
Generation 682 | Best Fitness: 67.1252
Generation 683 | Best Fitness: 67.1252
Generation 684 | Best Fitness: 67.1252
Generation 685 | Best Fitness: 67.1252
