#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         521     1.52829     1.78774   0.0165333
         522     1.52431     1.78724   0.0165093
         523     1.52041     1.78673   0.0164856
         524     1.51661     1.78621   0.0164622
         525     1.51291     1.78569   0.0164391
         526     1.50932     1.78517   0.0164163
         527     1.50585     1.78464   0.0163937
         528      1.5025      1.7841   0.0163713
         529     1.49926     1.78356   0.0163492
         530     1.49614     1.78302   0.0163274
         531     1.49312     1.78247   0.0163057
         532     1.49021     1.78193   0.0162843
         533     1.48741     1.78137   0.0162632
         534      1.4847     1.78082   0.0162422
         535     1.48209     1.78026   0.0162214
         536     1.47958      1.7797   0.0162009
         537     1.47716     1.77913   0.0161805
         538     1.47486     1.77857   0.0161603
         539     1.47267       1.778   0.0161403
         540      1.4706     1.77743   0.0161204
         541     1.46867     1.77686   0.0161007
         542     1.46689     1.77629   0.0160812
         543     1.46528     1.77572   0.0160617
         544     1.46385     1.77514   0.0160425
         545     1.46261     1.77457   0.0160233
         546     1.46159       1.774   0.0160042
         547     1.46081     1.77342   0.0159851
         548     1.46027     1.77285   0.0159662
         549        1.46     1.77228   0.0159473
         550        1.46     1.77171   0.0159284
         551     1.46029     1.77115   0.0159095
         552     1.46087     1.77059   0.0158906
         553     1.46175     1.77003   0.0158717
         554     1.46293     1.76947   0.0158527
         555      1.4644     1.76893   0.0158337
         556     1.46618     1.76838   0.0158146
         557     1.46825     1.76784   0.0157953
         558     1.47061     1.76731    0.015776
         559     1.47325     1.76678   0.0157566
         560     1.47616     1.76626    0.015737
         561     1.47933     1.76575   0.0157172
         562     1.48274     1.76525   0.0156973
         563     1.48639     1.76475   0.0156772
         564     1.49025     1.76427    0.015657
         565     1.49431     1.76379   0.0156366
         566     1.49856     1.76332    0.015616
         567     1.50297     1.76286   0.0155952
         568     1.50754     1.76241   0.0155742
         569     1.51225     1.76197    0.015553
         570     1.51707     1.76154   0.0155317
         571     1.52201     1.76112   0.0155101
         572     1.52704     1.76071   0.0154884
         573     1.53214     1.76032   0.0154665
         574     1.53732     1.75993   0.0154445
         575     1.54255     1.75955   0.0154222
         576     1.54783     1.75918   0.0153998
         577     1.55314     1.75882   0.0153773
         578     1.55848     1.75848   0.0153546
         579     1.56385     1.75814   0.0153318
         580     1.56924     1.75782   0.0153088
         581     1.57465      1.7575   0.0152857
         582     1.58008      1.7572   0.0152624
         583     1.58553      1.7569   0.0152391
         584     1.59099     1.75662   0.0152157
         585     1.59648     1.75634   0.0151921
         586       1.602     1.75608   0.0151685
         587     1.60753     1.75583   0.0151447
         588      1.6131     1.75558   0.0151209
         589      1.6187     1.75535    0.015097
         590     1.62432     1.75513   0.0150731
         591     1.62998     1.75492   0.0150491
         592     1.63566     1.75472    0.015025
         593     1.64137     1.75452   0.0150009
         594     1.64708     1.75434   0.0149767
         595      1.6528     1.75417   0.0149525
         596     1.65852     1.75401   0.0149283
         597     1.66421     1.75386    0.014904
         598     1.66986     1.75372   0.0148798
         599     1.67546     1.75359   0.0148555
         600     1.68097     1.75347   0.0148312
         601     1.68639     1.75336    0.014807
         602     1.69168     1.75326   0.0147827
         603     1.69683     1.75316   0.0147585
         604     1.70181     1.75308   0.0147343
         605     1.70661       1.753   0.0147102
         606     1.71121     1.75293   0.0146861
         607     1.71558     1.75287    0.014662
         608     1.71971     1.75282    0.014638
         609      1.7236     1.75277    0.014614
         610     1.72722     1.75273   0.0145901
         611     1.73057     1.75269   0.0145663
         612     1.73364     1.75266   0.0145425
         613     1.73643     1.75263   0.0145188
         614     1.73894     1.75261   0.0144952
         615     1.74118     1.75259   0.0144717
         616     1.74314     1.75258   0.0144482
         617     1.74484     1.75256   0.0144248
         618     1.74629     1.75255   0.0144014
         619      1.7475     1.75255   0.0143782
         620     1.74849     1.75254    0.014355
         621     1.74928     1.75253   0.0143319
         622     1.74988     1.75253   0.0143088
         623      1.7503     1.75253   0.0142858
         624     1.75057     1.75252   0.0142629
         625     1.75071     1.75252   0.0142401
         626     1.75074     1.75252   0.0142174
         627     1.75066     1.75251   0.0141947
         628     1.75051     1.75251   0.0141721
         629      1.7503     1.75251   0.0141496
         630     1.75003      1.7525   0.0141271
         631     1.74973      1.7525   0.0141047
         632     1.74939     1.75249   0.0140824
         633     1.74905     1.75249   0.0140602
         634     1.74869     1.75248    0.014038
         635     1.74831     1.75248   0.0140159
         636     1.74794     1.75247   0.0139938
         637     1.74755     1.75246   0.0139719
         638     1.74716     1.75245     0.01395
         639     1.74675     1.75244   0.0139282
         640     1.74634     1.75243   0.0139064
         641     1.74591     1.75242   0.0138847
         642     1.74547     1.75241   0.0138631
         643       1.745      1.7524   0.0138415
         644     1.74453     1.75239     0.01382
         645     1.74403     1.75238   0.0137986
         646     1.74351     1.75236   0.0137773
         647     1.74297     1.75235    0.013756
         648     1.74242     1.75233   0.0137348
         649     1.74186     1.75232   0.0137136
         650      1.7413      1.7523   0.0136925
         651     1.74074     1.75228   0.0136715
         652      1.7402     1.75226   0.0136505
         653     1.73968     1.75224   0.0136296
         654     1.73919     1.75222   0.0136088
         655     1.73875      1.7522   0.0135881
         656     1.73835     1.75218   0.0135674
         657     1.73802     1.75216   0.0135467
         658     1.73775     1.75214   0.0135262
         659     1.73755     1.75212   0.0135057
         660     1.73742     1.75209   0.0134852
         661     1.73737     1.75207   0.0134648
         662     1.73739     1.75205   0.0134445
         663     1.73748     1.75203   0.0134242
         664     1.73762     1.75201    0.013404
         665     1.73782     1.75199   0.0133839
         666     1.73807     1.75196   0.0133638
         667     1.73834     1.75194   0.0133438
         668     1.73862     1.75192   0.0133238
         669     1.73891      1.7519   0.0133039
         670     1.73918     1.75189   0.0132841
         671     1.73943     1.75187   0.0132643
         672     1.73965     1.75185   0.0132446
         673     1.73981     1.75183   0.0132249
         674     1.73991     1.75181   0.0132053
         675     1.73995      1.7518   0.0131858
         676     1.73991     1.75178   0.0131663
         677      1.7398     1.75176   0.0131468
         678     1.73961     1.75174   0.0131275
         679     1.73934     1.75172   0.0131081
         680       1.739     1.75171   0.0130889
         681     1.73859     1.75169   0.0130697
         682     1.73812     1.75167   0.0130505
         683     1.73759     1.75165   0.0130314
         684     1.73701     1.75162   0.0130124
         685      1.7364      1.7516   0.0129934
         686     1.73576     1.75158   0.0129745
         687     1.73512     1.75155   0.0129556
         688     1.73447     1.75153   0.0129368
         689     1.73385      1.7515   0.0129181
         690     1.73325     1.75148   0.0128994
         691     1.73271     1.75145   0.0128807
         692     1.73222     1.75142   0.0128622
         693     1.73181     1.75139   0.0128436
         694     1.73148     1.75137   0.0128251
         695     1.73126     1.75134   0.0128067
         696     1.73114     1.75131   0.0127884
         697     1.73114     1.75128     0.01277
         698     1.73126     1.75125   0.0127518
         699     1.73152     1.75122   0.0127336
         700     1.73191     1.75119   0.0127154
         701     1.73244     1.75117   0.0126973
         702     1.73311     1.75114   0.0126792
         703     1.73391     1.75112   0.0126612
         704     1.73485     1.75109   0.0126433
         705     1.73591     1.75107   0.0126253
         706     1.73708     1.75105   0.0126075
         707     1.73836     1.75104   0.0125897
         708     1.73974     1.75102   0.0125719
         709      1.7412     1.75101   0.0125542
         710     1.74272     1.75099   0.0125365
         711     1.74428     1.75098   0.0125189
         712     1.74587     1.75098   0.0125013
         713     1.74746     1.75097   0.0124837
         714     1.74904     1.75097   0.0124663
         715     1.75059     1.75097   0.0124488
         716     1.75207     1.75097   0.0124314
         717     1.75349     1.75097   0.0124141
         718      1.7548     1.75098   0.0123968
         719       1.756     1.75099   0.0123796
         720     1.75706     1.75099   0.0123624
         721     1.75797       1.751   0.0123452
         722     1.75871     1.75102   0.0123281
         723     1.75928     1.75103   0.0123111
         724     1.75965     1.75104   0.0122941
         725     1.75981     1.75105   0.0122771
         726     1.75977     1.75106   0.0122602
         727     1.75952     1.75107   0.0122434
         728     1.75905     1.75109   0.0122266
         729     1.75837      1.7511   0.0122098
         730     1.75748      1.7511   0.0121931
         731     1.75638     1.75111   0.0121764
         732     1.75508     1.75112   0.0121598
         733     1.75358     1.75112   0.0121432
         734      1.7519     1.75112   0.0121266
